food_name,region,type,calories,protein_g,carbs_g,fat_g,fiber_g,category,ingredients,prep_time_mins,suitable_for_athletes,risk_level
Salmon Sushi (6 pcs),Japanese,non-veg,280,24,36,6.0,2,lunch,"rice,salmon,nori",15,True,very_low
Tuna Sashimi (6 pcs),Japanese,non-veg,180,32,0,4.0,0,lunch,tuna,10,True,very_low
Chicken Teriyaki,Japanese,non-veg,420,36,38,12.0,2,dinner,"chicken,teriyaki sauce,rice",25,True,moderate
Tonkotsu Ramen,Japanese,non-veg,520,32,58,18.0,3,lunch,"noodles,pork,egg,broth",30,False,moderate
Chicken Katsu,Japanese,non-veg,480,32,42,18.0,2,dinner,"chicken,breadcrumbs,tonkatsu sauce",25,False,moderate
Tempura Shrimp,Japanese,non-veg,320,22,28,12.0,2,snack,"shrimp,tempura batter",15,True,low
Beef Teriyaki,Japanese,non-veg,460,38,32,20.0,2,dinner,"beef,teriyaki sauce,vegetables",25,True,moderate
Unagi Don,Japanese,non-veg,520,28,68,14.0,2,lunch,"eel,rice,teriyaki sauce",20,False,moderate
Yakitori (3 skewers),Japanese,non-veg,280,28,8,12.0,1,snack,"chicken,scallions,teriyaki",20,True,very_low
Gyoza Pork,Japanese,non-veg,320,16,32,12.0,2,snack,"pork,vegetables,wrapper",30,True,low
Salmon Teriyaki,Japanese,non-veg,440,38,32,16.0,2,dinner,"salmon,teriyaki sauce,rice",25,True,moderate
Chicken Ramen,Japanese,non-veg,460,28,56,14.0,3,lunch,"noodles,chicken,egg,broth",25,False,moderate
Sushi Platter Mixed,Japanese,non-veg,480,32,62,10.0,3,dinner,"rice,fish,nori,wasabi",30,True,moderate
Pork Katsu,Japanese,non-veg,540,34,44,22.0,2,dinner,"pork,breadcrumbs,tonkatsu sauce",25,False,moderate
Chirashi Bowl,Japanese,non-veg,520,36,58,12.0,3,lunch,"rice,assorted fish,vegetables",20,True,moderate
Pad Thai (Veg),Thai,veg,380,12,58,10.0,4,lunch,"noodles,tofu,peanuts,bean sprouts",20,True,low
Green Curry (Veg),Thai,veg,320,10,28,18.0,5,lunch,"vegetables,coconut milk,curry paste",30,True,low
Tom Yum Soup (Veg),Thai,veg,140,6,18,4.0,3,lunch,"vegetables,lemongrass,lime,chili",25,True,low
Spring Rolls Thai,Thai,veg,200,6,28,7.0,3,snack,"vegetables,rice paper",20,True,low
Mango Sticky Rice,Thai,veg,320,4,68,6.0,2,snack,"rice,mango,coconut milk",30,False,low
Papaya Salad,Thai,veg,140,4,22,4.0,6,lunch,"papaya,peanuts,lime,chili",15,True,low
Vegetable Pad See Ew,Thai,veg,360,10,56,10.0,4,lunch,"noodles,vegetables,soy sauce",20,True,low
Thai Basil Tofu,Thai,veg,280,16,24,12.0,3,lunch,"tofu,basil,chili,soy sauce",20,True,low
Pad Thai Chicken,Thai,non-veg,480,28,58,14.0,4,lunch,"noodles,chicken,peanuts,egg",20,True,moderate
Green Curry Chicken,Thai,non-veg,420,32,28,22.0,4,dinner,"chicken,coconut milk,curry paste",35,True,moderate
Massaman Curry Beef,Thai,non-veg,520,34,32,28.0,4,dinner,"beef,coconut milk,peanuts,curry",45,False,moderate
Tom Yum Goong,Thai,non-veg,220,24,18,6.0,3,lunch,"shrimp,lemongrass,lime,mushrooms",25,True,very_low
Larb Gai,Thai,non-veg,280,32,12,12.0,3,lunch,"minced chicken,lime,herbs,chili",20,True,very_low
Pad Krapow Chicken,Thai,non-veg,380,28,32,16.0,3,lunch,"chicken,basil,chili,rice",20,True,low
Red Curry Duck,Thai,non-veg,520,30,28,32.0,3,dinner,"duck,coconut milk,red curry paste",40,False,high
Thai Fish Cakes,Thai,non-veg,260,24,18,10.0,2,snack,"fish,red curry paste,lime leaves",25,True,very_low
Pineapple Fried Rice Shrimp,Thai,non-veg,420,22,62,10.0,3,lunch,"rice,shrimp,pineapple,cashews",25,True,moderate
Beef Satay,Thai,non-veg,360,32,12,22.0,2,snack,"beef,peanut sauce,spices",120,True,low
Drunken Noodles Pork,Thai,non-veg,480,26,56,18.0,4,lunch,"noodles,pork,basil,chili",25,True,moderate
Chicken Satay,Thai,non-veg,340,30,12,20.0,2,snack,"chicken,peanut sauce,spices",120,True,low
Falafel (4 pcs),Middle Eastern,veg,320,14,38,12.0,8,lunch,"chickpeas,herbs,spices",20,True,low
Hummus with Pita,Middle Eastern,veg,280,10,36,10.0,8,snack,"chickpeas,tahini,lemon,pita",10,True,low
Tabbouleh,Middle Eastern,veg,180,5,28,6.0,6,lunch,"bulgur,parsley,tomatoes,lemon",20,True,low
Baba Ganoush,Middle Eastern,veg,200,4,16,14.0,8,snack,"eggplant,tahini,lemon,garlic",40,True,low
Fattoush Salad,Middle Eastern,veg,220,6,28,10.0,6,lunch,"lettuce,tomatoes,pita chips,sumac",15,True,low
Muhammara,Middle Eastern,veg,240,6,22,14.0,4,snack,"red peppers,walnuts,pomegranate",15,True,low
Stuffed Grape Leaves,Middle Eastern,veg,200,6,32,6.0,4,snack,"grape leaves,rice,herbs",45,True,low
Lentil Soup,Middle Eastern,veg,220,14,36,4.0,12,lunch,"lentils,cumin,lemon,vegetables",35,True,low
Shakshuka,Middle Eastern,veg,260,14,18,14.0,4,breakfast,"eggs,tomatoes,peppers,spices",25,True,low
Labneh with Za'atar,Middle Eastern,veg,180,10,8,12.0,1,breakfast,"strained yogurt,za'atar,olive oil",480,True,low
Mujaddara,Middle Eastern,veg,320,16,54,6.0,12,lunch,"lentils,rice,caramelized onions",50,True,low
Chicken Shawarma,Middle Eastern,non-veg,420,32,38,16.0,3,lunch,"chicken,pita,tahini,vegetables",240,True,moderate
Beef Shawarma,Middle Eastern,non-veg,480,34,38,22.0,3,lunch,"beef,pita,tahini,vegetables",240,True,moderate
Chicken Kebab,Middle Eastern,non-veg,360,38,8,18.0,2,dinner,"chicken,yogurt,spices",120,True,low
Lamb Kofta,Middle Eastern,non-veg,420,32,12,28.0,2,dinner,"lamb,onions,parsley,spices",30,False,moderate
Mixed Grill Platter,Middle Eastern,non-veg,620,48,24,38.0,3,dinner,"chicken,beef,lamb,rice",45,False,high
Mansaf,Middle Eastern,non-veg,580,36,52,24.0,2,lunch,"lamb,rice,yogurt sauce",90,False,moderate
Chicken Tagine,Middle Eastern,non-veg,440,34,32,20.0,4,dinner,"chicken,olives,preserved lemon",60,True,moderate
Lamb Biryani Middle Eastern,Middle Eastern,non-veg,560,32,58,24.0,3,lunch,"lamb,rice,saffron,spices",90,False,moderate
Chicken Fatteh,Middle Eastern,non-veg,480,36,42,18.0,4,lunch,"chicken,pita,yogurt,chickpeas",40,True,moderate
Beef Kofta with Rice,Middle Eastern,non-veg,520,36,48,20.0,3,lunch,"ground beef,rice,spices",35,True,moderate
Fish Sayadieh,Middle Eastern,non-veg,460,32,52,14.0,3,lunch,"fish,rice,onions,spices",45,True,moderate
Chicken Musakhan,Middle Eastern,non-veg,520,38,42,22.0,3,dinner,"chicken,sumac,onions,flatbread",60,False,moderate
Lamb Kebab,Middle Eastern,non-veg,440,36,8,30.0,2,dinner,"lamb,yogurt,spices",120,False,moderate
Grilled Fish Middle Eastern,Middle Eastern,non-veg,320,36,6,14.0,2,dinner,"fish,lemon,herbs,tahini",25,True,low
French Onion Soup,French,veg,280,12,32,10.0,3,lunch,"onions,cheese,bread,broth",60,False,low
Ratatouille,French,veg,180,5,24,8.0,6,lunch,"eggplant,zucchini,peppers,tomatoes",50,True,low
Quiche Lorraine (Veg),French,veg,380,14,28,24.0,2,lunch,"eggs,cream,cheese,pastry",45,False,moderate
Nicoise Salad (Veg),French,veg,280,12,22,16.0,6,lunch,"vegetables,olives,egg,vinaigrette",15,True,low
Croque Monsieur (Veg),French,veg,480,22,42,24.0,2,lunch,"bread,cheese,bechamel",20,False,moderate
French Baguette with Cheese,French,veg,320,12,48,8.0,2,snack,"baguette,cheese,butter",5,False,low
Mushroom Crepes,French,veg,340,14,38,14.0,3,lunch,"crepes,mushrooms,cream,cheese",30,False,low
Coq au Vin,French,non-veg,480,36,18,28.0,2,dinner,"chicken,red wine,mushrooms,bacon",90,False,moderate
Beef Bourguignon,French,non-veg,540,38,22,32.0,3,dinner,"beef,red wine,carrots,onions",180,False,high
Duck Confit,French,non-veg,620,34,8,50.0,1,dinner,"duck,duck fat,herbs",240,False,high
Escargots,French,non-veg,280,18,8,20.0,1,snack,"snails,garlic butter,parsley",20,False,low
Quiche Lorraine,French,non-veg,420,18,28,26.0,2,lunch,"eggs,bacon,cream,cheese,pastry",45,False,moderate
Steak Frites,French,non-veg,680,46,48,34.0,3,dinner,"beef steak,french fries",20,False,high
Bouillabaisse,French,non-veg,380,32,24,16.0,3,dinner,"fish,shellfish,tomatoes,saffron",60,True,low
Chicken Cordon Bleu,French,non-veg,560,42,32,28.0,2,dinner,"chicken,ham,cheese,breadcrumbs",40,False,moderate
Nicoise Salad,French,non-veg,360,28,22,18.0,6,lunch,"tuna,egg,olives,vegetables",15,True,low
Moules Mariniere,French,non-veg,320,26,18,12.0,2,dinner,"mussels,white wine,cream,herbs",25,True,low
Salmon en Papillote,French,non-veg,380,36,12,20.0,3,dinner,"salmon,vegetables,herbs",30,True,low
Cassoulet,French,non-veg,580,36,48,24.0,10,dinner,"beans,duck,sausage,pork",180,False,moderate
Greek Salad,Greek,veg,220,8,14,16.0,4,lunch,"tomatoes,cucumber,feta,olives,olive oil",10,True,low
Spanakopita,Greek,veg,340,14,32,18.0,4,lunch,"spinach,feta,phyllo pastry",45,False,low
Dolmades (Veg),Greek,veg,200,6,32,6.0,4,snack,"grape leaves,rice,herbs,lemon",45,True,low
Tzatziki with Pita,Greek,veg,240,10,32,8.0,3,snack,"yogurt,cucumber,garlic,pita",15,True,low
Gigantes Plaki,Greek,veg,280,14,42,6.0,12,lunch,"giant beans,tomatoes,herbs",60,True,low
Greek Lentil Soup,Greek,veg,240,16,38,4.0,10,lunch,"lentils,tomatoes,vinegar,herbs",45,True,low
Chicken Souvlaki,Greek,non-veg,380,36,28,14.0,3,lunch,"chicken,pita,tzatziki,vegetables",120,True,low
Lamb Gyros,Greek,non-veg,520,32,42,24.0,3,lunch,"lamb,pita,tzatziki,tomatoes",180,False,moderate
Moussaka,Greek,non-veg,480,28,32,26.0,5,dinner,"eggplant,ground beef,bechamel",75,False,moderate
Greek Meatballs,Greek,non-veg,380,28,16,24.0,2,lunch,"ground beef,herbs,egg,breadcrumbs",30,True,low
Grilled Octopus,Greek,non-veg,280,32,8,10.0,2,dinner,"octopus,lemon,olive oil,herbs",60,True,very_low
Pastitsio,Greek,non-veg,520,30,48,22.0,3,dinner,"pasta,ground beef,bechamel",75,False,moderate
Lamb Kleftiko,Greek,non-veg,560,42,12,38.0,2,dinner,"lamb,potatoes,lemon,herbs",180,False,high
Grilled Fish Greek Style,Greek,non-veg,320,38,6,14.0,2,dinner,"fish,lemon,olive oil,herbs",25,True,low
Chicken Gyros,Greek,non-veg,460,34,42,18.0,3,lunch,"chicken,pita,tzatziki,vegetables",120,True,moderate
Kimchi,Korean,veg,40,2,8,0.5,3,snack,"cabbage,chili,garlic,ginger",48,True,low
Bibimbap (Veg),Korean,veg,420,14,68,10.0,6,lunch,"rice,vegetables,egg,gochujang",25,True,moderate
Japchae,Korean,veg,360,8,62,10.0,4,lunch,"sweet potato noodles,vegetables,sesame",30,True,low
Korean Pancake (Veg),Korean,veg,280,8,42,8.0,3,snack,"flour,vegetables,scallions",20,True,low
Doenjang Jjigae,Korean,veg,220,12,24,8.0,5,lunch,"soybean paste,tofu,vegetables",25,True,low
Kimbap (Veg),Korean,veg,320,10,56,6.0,4,lunch,"rice,nori,vegetables,egg",30,True,low
Bulgogi,Korean,non-veg,420,34,28,18.0,2,dinner,"beef,soy sauce,sugar,garlic",120,True,moderate
Korean Fried Chicken,Korean,non-veg,520,32,42,24.0,2,dinner,"chicken,sweet chili sauce",40,False,moderate
Galbi (Short Ribs),Korean,non-veg,580,38,24,38.0,2,dinner,"beef ribs,soy sauce,pear,garlic",240,False,high
Bibimbap with Beef,Korean,non-veg,520,28,68,14.0,6,lunch,"rice,beef,vegetables,egg,gochujang",30,True,moderate
Kimchi Jjigae,Korean,non-veg,320,24,22,14.0,4,lunch,"kimchi,pork,tofu,gochugaru",30,True,low
Korean BBQ Pork,Korean,non-veg,480,32,18,32.0,2,dinner,"pork belly,gochujang,garlic",120,False,high
Samgyeopsal,Korean,non-veg,560,28,12,44.0,2,dinner,"pork belly,lettuce,garlic,ssamjang",15,False,high
Seafood Pancake,Korean,non-veg,380,20,42,14.0,3,snack,"seafood,flour,scallions,egg",25,True,low
Dakgalbi,Korean,non-veg,460,36,32,20.0,4,dinner,"chicken,cabbage,gochujang,rice cakes",35,True,moderate
Army Stew (Budae Jjigae),Korean,non-veg,480,26,42,20.0,4,lunch,"spam,sausage,noodles,kimchi",25,False,moderate
Sundubu Jjigae,Korean,non-veg,280,22,18,12.0,3,lunch,"soft tofu,seafood,gochugaru,egg",20,True,very_low
Jjajangmyeon,Korean,non-veg,520,24,78,14.0,4,lunch,"noodles,pork,black bean sauce",30,False,moderate
Bossam,Korean,non-veg,420,32,12,28.0,3,dinner,"pork belly,kimchi,garlic,ssamjang",120,False,moderate
Tteokbokki with Fish Cake,Korean,non-veg,360,12,64,6.0,3,snack,"rice cakes,fish cake,gochujang",20,False,low
Grilled Vegetable Salad,Continental,veg,150,5,18,6.0,5,lunch,"mixed vegetables,olive oil,herbs",25,True,low
Pasta Primavera,Continental,veg,380,12,58,12.0,4,lunch,"pasta,vegetables,olive oil,parmesan",30,True,low
Mushroom Risotto,Continental,veg,420,10,62,14.0,3,dinner,"arborio rice,mushrooms,parmesan,wine",45,False,low
Vegetable Soup,Continental,veg,120,4,20,3.0,5,lunch,"mixed vegetables,herbs,broth",30,True,low
Quinoa Salad,Continental,veg,280,10,42,8.0,8,lunch,"quinoa,vegetables,lemon,olive oil",20,True,low
Spinach Artichoke Dip,Continental,veg,320,12,16,24.0,4,snack,"spinach,artichoke,cream cheese",20,False,moderate
Tomato Basil Soup,Continental,veg,180,5,26,6.0,4,lunch,"tomatoes,basil,cream,garlic",30,True,low
Baked Potato with Toppings,Continental,veg,340,12,52,10.0,6,lunch,"potato,sour cream,cheese,chives",60,False,low
Grilled Chicken Breast,Continental,non-veg,280,42,2,10.0,0,dinner,"chicken breast,herbs,olive oil",25,True,very_low
Salmon with Vegetables,Continental,non-veg,380,35,12,22.0,4,dinner,"salmon,broccoli,asparagus,lemon",30,True,low
Steak with Mashed Potatoes,Continental,non-veg,620,45,38,32.0,3,dinner,"beef,potatoes,butter,cream",40,False,high
Chicken Schnitzel,Continental,non-veg,480,36,38,20.0,2,dinner,"chicken,breadcrumbs,lemon",25,False,moderate
Fish and Chips,Continental,non-veg,640,32,68,28.0,4,lunch,"fish,potatoes,batter",30,False,high
Beef Stroganoff,Continental,non-veg,520,34,32,28.0,3,dinner,"beef,mushrooms,sour cream,egg noodles",35,False,moderate
Chicken Cordon Bleu,Continental,non-veg,560,42,32,28.0,2,dinner,"chicken,ham,cheese,breadcrumbs",40,False,moderate
Pork Chops with Applesauce,Continental,non-veg,420,38,24,20.0,3,dinner,"pork chops,apples,herbs",30,True,moderate
Turkey Club Sandwich,Continental,non-veg,480,32,42,20.0,3,lunch,"turkey,bacon,lettuce,tomato,bread",10,False,moderate
Chicken Caesar Wrap,Continental,non-veg,440,32,36,18.0,3,lunch,"chicken,lettuce,parmesan,tortilla",10,True,moderate
Beef Wellington,Continental,non-veg,720,42,48,38.0,3,dinner,"beef,mushrooms,puff pastry",120,False,high
Lobster Thermidor,Continental,non-veg,580,36,18,40.0,2,dinner,"lobster,cream,cheese,brandy",45,False,high
Patatas Bravas,Spanish,veg,320,5,42,14.0,4,snack,"potatoes,bravas sauce,aioli",30,False,low
Gazpacho,Spanish,veg,120,3,18,4.0,4,lunch,"tomatoes,cucumber,peppers,garlic",120,True,low
Spanish Tortilla,Spanish,veg,340,16,28,18.0,3,lunch,"eggs,potatoes,onions",30,False,low
Pan con Tomate,Spanish,veg,180,5,28,6.0,3,snack,"bread,tomatoes,garlic,olive oil",5,True,low
Pisto,Spanish,veg,160,4,20,8.0,6,lunch,"vegetables,tomatoes,olive oil",40,True,low
Paella,Spanish,non-veg,520,32,62,14.0,3,lunch,"rice,seafood,chicken,saffron",60,True,moderate
Gambas al Ajillo,Spanish,non-veg,320,28,6,22.0,1,snack,"shrimp,garlic,olive oil,chili",15,True,low
Chorizo a la Sidra,Spanish,non-veg,420,22,12,32.0,2,lunch,"chorizo,cider,onions",25,False,high
Albondigas,Spanish,non-veg,380,26,18,22.0,3,lunch,"meatballs,tomato sauce,herbs",40,True,low
Pollo al Ajillo,Spanish,non-veg,380,36,8,22.0,1,dinner,"chicken,garlic,white wine",35,True,low
Pulpo a la Gallega,Spanish,non-veg,280,32,12,10.0,2,dinner,"octopus,paprika,olive oil,potatoes",60,True,very_low
Cochinillo Asado,Spanish,non-veg,580,36,8,44.0,1,dinner,"suckling pig,garlic,herbs",180,False,high
Bacalao al Pil Pil,Spanish,non-veg,360,32,4,24.0,1,dinner,"cod,garlic,olive oil,chili",30,True,low
Jamón Ibérico,Spanish,non-veg,320,28,2,24.0,0,snack,cured ham,0,False,moderate
Calamares Fritos,Spanish,non-veg,380,24,32,18.0,2,snack,"squid,flour,lemon",20,False,low
Chocolate Cake,Dessert,veg,420,6,58,18.0,2,snack,"flour,chocolate,sugar,butter",45,False,low
Vanilla Ice Cream,Dessert,veg,280,5,32,14.0,0,snack,"cream,sugar,vanilla",240,False,low
Apple Pie,Dessert,veg,380,4,56,16.0,3,snack,"apples,flour,sugar,butter",60,False,low
Cheesecake,Dessert,veg,460,8,42,28.0,1,snack,"cream cheese,sugar,graham crackers",360,False,moderate
Tiramisu,Dessert,veg,420,7,48,20.0,1,snack,"ladyfingers,mascarpone,coffee,cocoa",240,False,low
Brownies,Dessert,veg,380,5,48,18.0,2,snack,"chocolate,flour,sugar,butter",30,False,low
Crème Brûlée,Dessert,veg,360,6,36,20.0,0,snack,"cream,egg yolks,sugar,vanilla",360,False,low
Panna Cotta,Dessert,veg,320,5,32,18.0,0,snack,"cream,sugar,gelatin,vanilla",240,False,low
Macarons,Dessert,veg,180,3,24,8.0,1,snack,"almond flour,sugar,egg whites",60,False,low
Croissant,Dessert,veg,280,6,32,14.0,2,breakfast,"flour,butter,sugar",180,False,low
Donut,Dessert,veg,320,4,42,14.0,1,snack,"flour,sugar,oil",30,False,low
Cinnamon Roll,Dessert,veg,420,7,62,16.0,2,breakfast,"flour,cinnamon,sugar,butter",120,False,low
Churros,Dessert,veg,340,5,48,14.0,2,snack,"flour,sugar,oil,cinnamon",20,False,low
Baklava,Dessert,veg,380,6,48,18.0,3,snack,"phyllo,nuts,honey,butter",90,False,low
Gulab Jamun,Dessert,veg,260,5,42,8.0,1,snack,"milk solids,sugar,cardamom",45,False,low
Rasgulla,Dessert,veg,180,6,34,2.0,0,snack,"cottage cheese,sugar",60,False,low
Jalebi,Dessert,veg,280,3,52,8.0,1,snack,"flour,sugar,saffron",30,False,low
Kheer,Dessert,veg,240,8,38,6.0,1,snack,"rice,milk,sugar,cardamom",45,False,low
Mochi,Dessert,veg,200,3,42,2.0,1,snack,"rice flour,sugar,filling",30,False,low
Mango Lassi,Dessert,veg,220,6,38,6.0,1,snack,"mango,yogurt,sugar",10,False,low
Flan,Dessert,veg,300,7,42,10.0,0,snack,"eggs,milk,sugar,caramel",360,False,low
Churro Ice Cream Sundae,Dessert,veg,520,7,72,22.0,2,snack,"churros,ice cream,chocolate sauce",20,False,moderate
Gelato,Dessert,veg,240,5,34,10.0,0,snack,"milk,sugar,flavoring",240,False,low
Éclair,Dessert,veg,340,6,38,18.0,1,snack,"choux pastry,cream,chocolate",60,False,low
Pavlova,Dessert,veg,320,4,58,8.0,2,snack,"meringue,cream,fruits",90,False,low
Sticky Toffee Pudding,Dessert,veg,460,5,68,18.0,2,snack,"dates,flour,toffee sauce",45,False,moderate
Red Velvet Cake,Dessert,veg,440,5,56,20.0,2,snack,"flour,cocoa,cream cheese frosting",45,False,low
Lava Cake,Dessert,veg,480,7,54,24.0,3,snack,"chocolate,flour,butter,sugar",20,False,moderate
Tres Leches Cake,Dessert,veg,380,8,52,14.0,1,snack,"sponge cake,three milks",240,False,low
Carrot Cake,Dessert,veg,420,5,58,18.0,3,snack,"carrots,flour,cream cheese frosting",50,False,low
Protein Shake,Fitness,veg,180,25,12,3.0,2,snack,"whey protein,milk,banana",5,True,very_low
Greek Yogurt with Berries,Fitness,veg,200,18,24,4.0,3,snack,"greek yogurt,berries,honey",5,True,low
Overnight Oats,Fitness,veg,280,12,48,6.0,8,breakfast,"oats,milk,chia seeds,fruits",480,True,low
Chicken and Brown Rice,Fitness,non-veg,420,38,52,6.0,4,lunch,"chicken breast,brown rice,vegetables",30,True,moderate
Tuna Salad,Fitness,non-veg,280,32,12,10.0,4,lunch,"tuna,lettuce,tomatoes,olive oil",10,True,very_low
Egg White Omelette,Fitness,veg,180,24,6,4.0,2,breakfast,"egg whites,vegetables,herbs",10,True,very_low
Sweet Potato with Chicken,Fitness,non-veg,380,36,42,6.0,6,lunch,"chicken,sweet potato,broccoli",35,True,low
Quinoa Bowl,Fitness,veg,320,12,52,8.0,10,lunch,"quinoa,vegetables,avocado",20,True,low
Grilled Salmon Salad,Fitness,non-veg,360,34,14,18.0,5,dinner,"salmon,mixed greens,olive oil",25,True,low
Turkey Breast with Veggies,Fitness,non-veg,280,40,18,4.0,5,lunch,"turkey breast,steamed vegetables",25,True,very_low
Protein Pancakes,Fitness,veg,320,24,38,8.0,4,breakfast,"protein powder,oats,banana,egg",15,True,low
Cottage Cheese Bowl,Fitness,veg,220,24,16,6.0,2,snack,"cottage cheese,fruits,nuts",5,True,very_low
Smoothie Bowl,Fitness,veg,280,10,48,6.0,8,breakfast,"fruits,protein powder,granola,nuts",10,True,low
Grilled Chicken Salad,Fitness,non-veg,320,38,18,10.0,6,lunch,"chicken,mixed greens,vinaigrette",25,True,low
Baked Tilapia,Fitness,non-veg,240,36,8,6.0,2,dinner,"tilapia,lemon,herbs,vegetables",20,True,very_low
Egg and Avocado Toast,Fitness,veg,340,16,32,16.0,8,breakfast,"eggs,avocado,whole wheat bread",10,True,low
Lentil Soup Fitness,Fitness,veg,260,18,42,4.0,14,lunch,"lentils,vegetables,herbs",35,True,low
Chickpea Salad,Fitness,veg,280,14,38,8.0,12,lunch,"chickpeas,vegetables,lemon,olive oil",10,True,low
Protein Bar Homemade,Fitness,veg,240,16,28,8.0,5,snack,"protein powder,oats,peanut butter,honey",120,True,low
Egg Muffins,Fitness,veg,180,14,8,10.0,2,breakfast,"eggs,vegetables,cheese",25,True,low
Chicken Wrap (Healthy),Fitness,non-veg,360,32,36,10.0,5,lunch,"chicken,whole wheat tortilla,vegetables",10,True,low
Tuna Poke Bowl,Fitness,non-veg,420,34,48,10.0,4,lunch,"tuna,rice,edamame,avocado",15,True,moderate
Protein Cookies,Fitness,veg,200,12,24,6.0,4,snack,"protein powder,oats,peanut butter",20,True,low
Energy Balls,Fitness,veg,180,6,24,8.0,4,snack,"dates,nuts,protein powder,cocoa",15,True,low
Baked Cod,Fitness,non-veg,220,34,4,6.0,1,dinner,"cod,lemon,herbs",20,True,very_low
